Date,Open,High,Low,Close,Adj Close,Volume
1967-08-03,1.079227,1.079227,1.064203,1.071715,0.206971,3783900
1967-08-04,1.071715,1.076723,1.070463,1.071715,0.206971,1687200
1967-08-07,1.071715,1.074219,1.066707,1.069211,0.206488,1597400
1967-08-08,1.069211,1.071715,1.066707,1.071715,0.206971,1587400
1967-08-09,1.071715,1.075471,1.069211,1.072967,0.207213,1387700
1967-08-10,1.072967,1.074219,1.069211,1.070463,0.206730,1926900
1967-08-11,1.070463,1.071715,1.046675,1.051683,0.203103,3384500
1967-08-14,1.050431,1.050431,1.014123,1.034155,0.199718,2426100
1967-08-15,1.034155,1.040415,1.027895,1.034155,0.199718,2376100
1967-08-16,1.034155,1.039163,1.027895,1.035407,0.199960,1437600
1967-08-17,1.041667,1.055439,1.041667,1.055439,0.203828,1896900
1967-08-18,1.055439,1.069211,1.052935,1.060447,0.204795,1447600
1967-08-21,1.060447,1.065455,1.059195,1.062951,0.205279,1637300
1967-08-22,1.062951,1.075471,1.062951,1.065455,0.205762,2386100
1967-08-23,1.064203,1.064203,1.057943,1.064203,0.205520,1387700
1967-08-24,1.066707,1.076723,1.066707,1.076723,0.207938,1777100
1967-08-25,1.076723,1.084235,1.071715,1.084235,0.209389,3184800
1967-08-28,1.084235,1.104267,1.081731,1.095503,0.211565,4372900
1967-08-29,1.094251,1.094251,1.079227,1.079227,0.208422,1397700
1967-08-30,1.079227,1.098007,1.074219,1.096755,0.211807,1517500
1967-08-31,1.096755,1.106771,1.091747,1.094251,0.211324,4532700
1967-09-01,1.092999,1.092999,1.084235,1.085487,0.209631,1367800
1967-09-05,1.085487,1.090495,1.081731,1.082983,0.209147,1038300
1967-09-06,1.082983,1.086739,1.071715,1.082983,0.209147,1647300
1967-09-07,1.082983,1.105519,1.082983,1.105519,0.213500,2006700
1967-09-08,1.106771,1.130559,1.106771,1.123047,0.216885,5211600
1967-09-11,1.125551,1.140575,1.125551,1.131811,0.218577,2106600
1967-09-12,1.131811,1.134315,1.116787,1.116787,0.215676,1038300
1967-09-13,1.119291,1.130559,1.119291,1.119291,0.216159,1198000
1967-09-14,1.119291,1.135567,1.119291,1.120543,0.216401,1367800
1967-09-15,1.120543,1.141827,1.118039,1.140575,0.220270,1048300
